بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
من ز شيريني همي گشتم ترش من ز بسياري گفتارم خمش،صبح همگي بخير و شادي	armin monfared	Pishook	not-given			
دیگه چه خبر؟ البته بجز سه هیچ لوله شدنتون d	mehdi mehr	mehr_mehdi	not-given			
برم وزارت کشور مجوز تردد هیئت عزاداری بگیرم ، فردا همه تونو ببرم دیزین سینه زنی	mehdi mehr	mehr_mehdi	not-given			
آزادی عقیده از دیدگاه دولت ها	sina soltani	mrmaster10	Iran			http://wp.me/p13xTy-j
فیلم؛ مزدوران چماق بدست هنگام سخنرانی احمدی نژاد	radio aseman	radioaseman	not-given	#iranelection,#iran.		http://bit.ly/5QZDBL
من رای میدم	David Taylor	dtylor	Canada, Toronto			http://bit.ly/blIagJ
برو گوگل کن دیگه	David Taylor	dtylor	Canada, Toronto			http://bit.ly/blIagJ
ما بچه zwnj های جنگیم، بجنگ تا بجنگیم	David Taylor	dtylor	Canada, Toronto			http://bit.ly/blIagJ
بعضی وقتا واقعا از بس به چیزایی که نداشتم فکر میکنم،یادم میره چه چیزایی دارم که خیلی ها ندارنشون	ahmadmotamedi	ahmadmotamedi	دهکده فیزیک			
قبلاً نمی نوشت، چند روزه می نویسه	Abbas H ✔	iAbbaz	Shiraz, Iran		@SinaSdn	
من معتقدم بهتر است در همین گهی که هستیم دست و پا بزنیم و عنِ هم وطنانمان را دندان بزنیم اما جنگ نشود چون جنگ با پز روشنفکری ام مغایرت دارد	Abbas H ✔	iAbbaz	Shiraz, Iran			
اگه زنم تو غذاش فلفل دلمه بریزه شب هم باید با همون فلفل دلمه بخوابه البته تو خونه باباش	Abbas H ✔	iAbbaz	Shiraz, Iran			
دغلکاری یک زن مسلمان در استرالیا	Iranian In Australia	IranianNetwork	Melbourne			http://t.co/R9FvdPca
کوسه دورگه در استرالیا کشف شد	Iranian In Australia	IranianNetwork	Melbourne			http://t.co/olPZa32x
آنقدر این تصویر جالب بود که حیفم اومد فقط لینکش کنم	Iranian In Australia	IranianNetwork	Melbourne			http://t.co/Z5ytRxd5
تمام مناصب خانواده احمدی نژاد	Iranian In Australia	IranianNetwork	Melbourne			http://t.co/42yaKDNA
پیام کروبی نشان می‌دهد اصلاح‌طلبان وارد بازی اعاده آبروی حکومت نشده‌اند	Iranian In Australia	IranianNetwork	Melbourne			http://t.co/xjrs01Ai
دوستت دارم کلمه سنگینیه	حاج سید بهروز 	BehroOzo3	§hiraz	#عجب		
اومدش ، یا الله	حاج سید بهروز 	BehroOzo3	§hiraz			
خواستن ِ خالی به درد عمّه می خوره	persian boy	uk131	not-given			
من با پیام ِ صلح و دوستی می‌زنم توی سرت و تو غلط می‌کنی که من رو با یه همچین پیامی به رسمیت نشناسی	Arash	Aragol7	not-given			
فردا امتحان	Amir Hosein Persis	amir_persis	Iran , Tehran			
یه مدت هم فرهاد گوش بدیم محض تنوع	Pouria	pdaneshpour	Ahvaz, Iran			
از بزرگترین مزیتهای آیپاد اینه که وقتی توو جیبته و داری تو خیابون راه میری خیالت راحته صداش در نمیاد و پشت سرش کسی مزاحمت نمیشه استرس نداری	Pouria	pdaneshpour	Ahvaz, Iran			
بذا خوش باشن واسه خودشون d	Pouria	pdaneshpour	Ahvaz, Iran		@shokoohtalebian	
مرسی محمد	Pouria	pdaneshpour	Ahvaz, Iran		@mrmehregan	
خانواده ندا آقا سلطان نمايش کشته شدن او را محکوم کرد election	asefeh afzali	asefehafzali	not-given	#iran,#iranelection		http://bit.ly/4QwHvF
ايجاد فضاي رعب ووحشت با ماموران باتوم به دست در آستانه تظاهرات آذر	asefeh afzali	asefehafzali	not-given	#iranelection		http://ow.ly/HpYI
راه اندازی بخش رباتیک ایران استاد را تبریک می گم	Mohsen Vaziri	itnevesht	Iran Esfahan			http://www.iranostad.com/content/blogsection/19/58/
جوک اصفهانی‌ یکی‌ از خصوصیات و شاید یکی‌ از تفاوت‌های ما اصفهانیا با بقیه شهرها اینه که، نه…	ardeshir ahmadi	ArdeshirTV	not-given			http://goo.gl/fb/bKAEE
بچه‌ها سوال دارم ؟ سلام خدمت دوستان گل یه عکس از خانوم شهره و گروهش دو دختر توی عکس دیدم و…	ardeshir ahmadi	ArdeshirTV	not-given			http://goo.gl/fb/NGenm
حدادعادل بسیاری ازدرگیریهای نظامی،سیاسی،مباحث اقتصادی،علموفرهنگ و مباحث حقوقی درخصوص مسئله ی زن مطرح است فکراقا سخت مشغول چه چیزاییه	mehrnoosh gheytan	nusha14	not-given			
عبدی برای شرکت درسیاست جهانی اصول خودرااعلام کنید اصل دفاع ازمسلمانان است یادفاع ازامنیت ملی؟	mehrnoosh gheytan	nusha14	not-given			
عادت کردم شب قبله خاب اب تاپمو ویزارم زیر تختم که صب از جام بلند نشم	Mojtaba Ghanidel	mojtabaghanidel	Tehran			
از تو حرکت ، از خدا چاله چوله و دست انداز و پیچ خطرناک و	Mojtaba Ghanidel	mojtabaghanidel	Tehran			
خرافات حکومتی وسادگی مردم	iraj yousefi	iraj43	not-given			http://donbaleh.com/link/271516
تظاهراتهای تا اردیبهشت مقابل سفارتخانه های جی در تهران	iraj yousefi	iraj43	not-given			http://donbaleh.com/link/268336
اقتدارگرایان ما بریده‌ایم	iraj yousefi	iraj43	not-given			http://www.irangreenvoice.com/node/3086
بفرمایین غذا دست پخت استاد به به	alijoon ghanerad	ghanerad	not-given			http://t.co/ca6q2e21
کسانی هم که در هنگام سخنرانی بودند انگار نبودند news	Saeed	thexzy	not-given	#iranelection,#iran,#irannews,#news		http://bit.ly/cCAT3e
منشور حقوق بشر کوروش در ایران	Saeed	thexzy	not-given	#iran,#cartoon		http://bit.ly/cBOolx
تشکیل پرونده برای رسیدگی به جرائم سران فتنه در دادسرای تهران news	Saeed	thexzy	not-given	#iranelection,#iran,#irannews,#news		http://bit.ly/9F6rjP
شام غريبان در ميدان فردوسي tehran	ghasedak1	ghasedak1	not-given	#iranelection,#iran,#		
در خیابان امیرآباد تعداد نیروهای بسیجی و نیروی انتظامی بسیار زیاد است و مردم را به شدت کتک میزنند	ghasedak1	ghasedak1	not-given	#iranelection,#16azar,#iran,#tehran		
فک می‌کنم دارم متن یه نوشته مربوط به ۲۰۰۰ سال پیش رو می‌خونم در این حد یعنی	Ali Ehsanfar	a_ehsania	Qom, Iran			
فنّ ستاد شاد سازی گودره lol	Ali Ehsanfar	a_ehsania	Qom, Iran		@joonomi	
فرتوری برای طرفداران حقیقی تیم تراکتور	iran	iran_royal	tehran			http://t.co/QHz0mak
مشایی خطاب به هدیه تهرانی «عکس‌های شما توحیدی است و انسان را یاد خدا می‌اندازد »	Nastaran Ashtiyani	nashtiyani	not-given			http://khabaronline.ir/news-40050.aspx
سال زندان و ضربه‌شلاق سهم دکترعلی تاجرنیا	Nastaran Ashtiyani	nashtiyani	not-given			http://www.ayandenews.com/news/15621/
کشید پایین دلارو عرض می کنم	Hossein Mansour	hosseinmansour	Tehran			
که من با لعل خاموشش نهانی صد سخن دارم	Hossein Mansour	hosseinmansour	Tehran			
عاقلان تیره دل را در درون انکارها	Hossein Mansour	hosseinmansour	Tehran			
اشتتباه گفتی عزیزم، عقیده ناهموار رو نمیشه هموار کرد	Sam.kia	Sam1kia	USA		@K1shz	
اینجا افسر زن جنگ نرم نداریم؟	Sam.kia	Sam1kia	USA			
سایت سفارت ایران در سوئیس؛ برنده مسابقات طراحی سایت	MReza	monoasis	not-given			http://t.co/j8T4RsrP
راه آسون برای تویتر چیه	mahdi	shir2shir	lorestan/borujerd			
می خوام به سلامتی از این به بعد درست بشم	mahdi	shir2shir	lorestan/borujerd			
شام تخم مرغ با گوجه وقارچ	mahdi	shir2shir	lorestan/borujerd			
کدوم بی ادبی ؟؟؟؟	Aroom 	Aroooom	36.336886,59.552466		@SarSarKsr	
انشالا یه جایی هم شما یاد ما بیاری ما رو از حلقه نجات بدی خواهش	Aroom 	Aroooom	36.336886,59.552466		@FerFeriiii	
اسمایلی هایده	Aroom 	Aroooom	36.336886,59.552466			
ما که حس بویایمون تعطیل بود از اول	Aroom 	Aroooom	36.336886,59.552466			
چهارشنبه روز اعلام نظر شوراي نگهبان بازتاب	Jonbesh 88	jonbesh88	Tehran			http://bit.ly/J4Jpm
آمار کشته شدگان روز شنبه در تهران، رسانه ملی ایران نفر؛ بیمارستان ها نفر دویچه وله	Jonbesh 88	jonbesh88	Tehran			http://bit.ly/T8da6
بازي game • red faction armagedon آخرین screenshot های بازی red faction armagedon را برایتان آماده کرده	farshad	farshadtx	not-given			http://bit.ly/hQg2mE
هنر و فرهنگ art and culture • روايت يك داستان ايراني با نقاشي يك نقاش اسپانيايي عکسا نیست ها آمار و اطلاع	farshad	farshadtx	not-given			http://bit.ly/gUpu37
بازي game • دو تصویر از مکس پین منتشر شد بالاخره راک استار پس از مدت ها انتظار خبری از مکس پین منتشر کرد	farshad	farshadtx	not-given			http://bit.ly/eX0LHY
گالري عكس picture gallery • طراحي فوق العاده ي مناظر برفي با مداد font tahoma font tahoma font font	farshad	farshadtx	not-given			http://bit.ly/hARmlr
فيلم movie • little fockers dvdrip xvid defaced downloadآمار و اطلاعات ارسال شده در توسط coldfear ف	farshad	farshadtx	not-given			http://bit.ly/gYi5NA
چای نداریم از اونایی که نصفش کافیه می زنم	Mojtaba Ebrahimi	MojtabaEbrahimi	not-given			
sjekk denne videoen فیلم مستند بی‌بی‌سی خط و نشان رهبر via	Farzin Asefi	Farzinas	not-given		@youtube	http://t.co/kPDSNfd1
پیشنهاد اهدای جایزه صلح نوبل به شیخ مهدی کروبی از طرف ایرانیان مقیم فرانسه اح	mehdi najarian	kharabati	not-given			http://bit.ly/WBXCh
فوری امشب ساعت الله و اکبر فردا یکشنبه ساعت میدان ولیعصر	mehdi najarian	kharabati	not-given			
سفارت ایران در سوئد به دست معترضان ایرانی تسخیر شد و به شدت تخرییب شد	MoMa	MoMa83	not-given			
حس چسناله وسط یه تایملاین شاد	متین	matinfeed	not-given			
کشته شدن رئیس جمهور لهستان در سانحه سقوط هواپیما هواپيماي توپولف حامل لخ کاچينسکي ، روز شنبه، در منطقه اسمولنسک،	Bizim Tabriz News Ag	bizimtabriznews	Tabriz			http://bit.ly/dC3uv8
کارگران کارخانه سبلان پارچه در اعتراض به عدم پرداخت حقوق مقابل استانداری اردبیل تجمع کردند  کارگران کارخانه سبل	Bizim Tabriz News Ag	bizimtabriznews	Tabriz			http://bit.ly/ahy0Ja
بزرگراه تبريز باکو، ارسباران رااز بن بست خارج مي کند نماينده مردم کليبر و هوراند در مجلس ایران يکي از زيرساخت ها	Bizim Tabriz News Ag	bizimtabriznews	Tabriz			http://bit.ly/9xndjy
تراختور روز سيزدهم فروردين ماه برای بازی در مقابل ابومسلم عازم مشهد میشود سرمربي تيم فوتبال تراختور گفت با توجه	Bizim Tabriz News Ag	bizimtabriznews	Tabriz			http://bit.ly/cJ8Uqc
خيلي با حال بود دستت درد نكنه	faryaderasayema	faryaderasayema	not-given		@madyar	
هرچی جامعه نپسندید هم نباس انجام نداد اصن چه ربطی داره ؟ جامعه چه فازیه دیگه ؟ هرکار عشقته حاجی شیشه بزن شما	آرشام.شا	ARSHAMsha	ما اهل کوفه نیستیم			
via تصادف فوتي و تصادف جرحي در ساعت گذشته	عزیز ایرانی	azizirani1	not-given		@addthis	http://bit.ly/9mrFcp
freelancer یا آزادکار یا چی؟	عزیز ایرانی	azizirani1	not-given			http://wp.me/p9zCN-X
currently reading اوج تنفر از رسانه میلی هـیــــس at	عزیز ایرانی	azizirani1	not-given			http://www.irhiss.com/?p=5459
اگه مشهدی می بودی بو می کشیدی پیدا می کردی	Ramin Sho	Ramin_sho	Iran		@Mehrdxd	
from my blog خوانشِ عشق	Mohammad Bokaei	M_N_Bokaei	Tehran تهران			http://goo.gl/fb/HZPZy
از ساعت صبح نیروهای گاردی از میدان فردوسی تا بهارستان را تحت امنیت شدید قرار دادند	Nader Nader	naderak	Tehran			
مراسم تنفیذ احمدی نژاد برگزار شد	Nader Nader	naderak	Tehran			http://bit.ly/14qB9j
شانزده آذر نیامده،کودتا زائید ما بیشماریم آقا جون	egzoz	egzoz	not-given			
چرا ابنجوری یهو	پارسا	Paarsa_A	not-given			
ای که دلم برات تنگه خندت برام آهنگه افسوس دلت از سنگه	پارسا	Paarsa_A	not-given			
و این است رسم آدمیت	پارسا	Paarsa_A	not-given			
i liked a video اجرای حکم اعدام سه زندان در میدان آزادی کرمانشاه	Azita Ghobadi	azita2	Netherland		@YouTube	http://t.co/3SEpyxtj
i liked a video گفتگوی مسیح علینژاد با رضا پهلوی	Azita Ghobadi	azita2	Netherland		@YouTube	http://t.co/QOmgJ8EY
ضرب و شتم مردم در خیابان انقلاب تهران	Pegah M	baharestan	Germany	#USAdarFarsi,#25Bahman		
در اشرف علائمی از یک حمله جدید دیده می‌شود via	babak sarfaraz	paydaran	not-given	#cnni,#VoaIran,#OBAMA,#iranelection,#UNHRC,#FreeIran	@AddThis	http://t.co/S1PJDvg
لاکپشت	Pooria Havaie	pooriai	tehran			http://t.co/STjWIDql
می سوزد، میسوزیم	Pooria Havaie	pooriai	tehran			http://wp.me/pytHr-lg
قانون اساسی حالا مهم شده؟ هاشمی داره قدرت مجلس خبرگان را یادآوری میکنه؟	ایرانی فرنگ‌نشین	farangneshin	not-given			
رفسنجانی بالاخره حرف زد	ایرانی فرنگ‌نشین	farangneshin	not-given			
پیامکها هم فیلتر می‌شوند وزیر ارتباطات موضوع دست ما نیست	Mir Hossein	mirhossein22388	تهران			
مرگ بر دیکتاتور چه این جا چه اون جا	Mir Hossein	mirhossein22388	تهران			
تنها سه روز تا روز سبز ایران باقی مانده است	Mir Hossein	mirhossein22388	تهران			http://bit.ly/dc3PEq
خاتمی نمی توان گفت که نظامی منتسب به خدا و پیامبر است	Mir Hossein	mirhossein22388	تهران			http://bit.ly/aRxhJP
مطمئن باشید ما پیروزیم زیرا پهلوانانمان کنار ظالم نمی ایستند	Mir Hossein	mirhossein22388	تهران			http://bit.ly/clTLP7
سايه از سايه فرار مى كند و بر سايه پيشى مى گيرد	Daash Mammad	kharboze	not-given			
اى بابا اختيار دارين پريشبا از خواجه حافظ شيرازى شنيدم دى	Daash Mammad	kharboze	not-given		@Zarimi,@Ozayn	
میگن خدا خرو دید که بهش شاخ نداد ولی سر خلق استاد راهنمای من گویا رفته بود گل بچینه از دستش در رفت	Daash Mammad	kharboze	not-given			
اومدم خونه که بخوابم اینم ورژن منه لابد زیگیل پروری روحی به کمک تکنولوژی	Daash Mammad	kharboze	not-given			
ما انقلاب کردیم ؟ یا انقلاب ما را ؟	Farhad	IranMard	France			http://parsinfo.blog.free.fr/
بعد او را سوار یک ماشین پژو یشمی رنگ به شماره ل ل ایران کردند	Farhad	IranMard	France		@iranbaan	
﻿تهران مردم براي روز عاشورا ازصبح درميدان امام حسين تجمع كرده اند	hanif.i	i_hanif	not-given	#iranelection,#neda		http://www.cloob.com/name/behnaz_1367
متأسفانه پول‌هام با پول‌های امام زمان قاطی شده چه کنم؟	Reza Marandi	rezamarandi	Mashhad			
حالا اینی که گفتی نیما جان یعنی چی ؟	Reza Marandi	rezamarandi	Mashhad		@nima	
منم و اين ساز شكسته و يك نگاه زيبا كه دين و دنياي من بود	RaFee	rafee_bahal	kerman			
شب سکوت دیوانگی اینست نجوای درون بنگر به حرف ها و صدا ها همه آن ها با توست شب سکوت دیوانگی	RaFee	rafee_bahal	kerman			
منتظر نباش که شبی بشنوی، از این دلبستگی های ساده دل بریده ام یا در آسمان، به ستاره ی دیگری سلام کرده ام	RaFee	rafee_bahal	kerman			
همبستگی‌ تنها کلید رهایی ایران حقایقی که ملت ایران در رابطه با شکل گیری انقلاب ا	Alireza Assareh	alirezaassareh	Iran			http://t.co/nSY9hECM
reading پیرترین رفتگر شهر تهران ، ماهی ۲۰۰ هزار تومان می گیرم	Alireza Assareh	alirezaassareh	Iran			http://twitthis.com/rk76r2
زده هزینه قابل پرداخت تومان حالا بعد دو روز اینترنت قطع شده رفتم میبینم زده تومان بدهکاری	Hamid Hedjazi	hahe1978	not-given			
مشخصات ماهواره تازه پرشین رادیو eurobird frequency vertical symbol rate fec درجه شرقی	greatneda	greatneda	IRAN			
آقای خاتمی اینرا بفهمید مردم ایران دیگر رژیم دینی نمیخواهند حقیقتی تلخ برای شما و امثالهم	kave ahenger	ahenger	not-given	#iranelection		
قرار ما فردا tehran demonstration routes th july tir in persian please spread the word	Naz	Nazdv	not-given	#Iran,#iranelection		http://bit.ly/HmVQI
اینو نباید با غذا خوردن مقایسه کرد تو غذا خوردن یه چی میدی تو ولی دو دس تو دماغ کردن یه چی میاری بیرون	امین خان	abn_amin	not-given		@wilsonkhan2	
مجید دری اخراجم از دانشگاه را به خودم تبریک می گویم election به شرفت	رنگین کمان سبز	ranginkamanfb	Iran ایران	#iran,#iranelection,#humanrigthsدرود		http://t.co/Irob0Odb
امیر روز پیش یه آبنبات چوبی بزرگ بهم داد بعد روز هرچی میخورم تموم نمیشه	sanaz	sanasham	not-given			
یه ذره عذاب خون آدمو صاف میکنه مثلن من میرم یه چیزایی میخونم حرص میخورم بعدش پوستم خوب میشه قشنگ	Behnaz Mim	behnazmim	not-given			
پشمک هرکجا رفتی پس از من	Behnaz Mim	behnazmim	not-given			
کاری که دوم شده رو نگا کنین اگه طبق معمول اولی رو اجرا نکنن برن سراغ دومی می‌شه سنگ قبر بزرگ تهران	Behnaz Mim	behnazmim	not-given			
tag et kig på denne video تا صبح شب یلدا via	Ecceicci	Icciecce	not-given		@youtube	http://t.co/jPUUeWhI
دانلود آهنگ از خودم اصلش مال مهدی عسگریه فقط گیتار و صدای منه	mojtaba bolhasani	rankfa	Iran-Loestan-Azna City			http://t.co/2RESMr2Y
افزايش رايگان بازديد	mojtaba bolhasani	rankfa	Iran-Loestan-Azna City			http://t.co/uDOESJKl
دانلود آهنگ جدید محسن یگانه به نام مثل فرشته	mojtaba bolhasani	rankfa	Iran-Loestan-Azna City			http://mye.ir/?p=636
سرویس چت تصادفی بجنبید خیلی جالبه خیلی	mojtaba bolhasani	rankfa	Iran-Loestan-Azna City			http://chat.rankfa.com
پرتال طراحی وب رنک فا افتتاح شد	mojtaba bolhasani	rankfa	Iran-Loestan-Azna City			http://ping.fm/1JCFjپرتال-طراحی-وب-رنک-فا-افتتاح-شد?goto=newpost
شعر به دنبال تلالو است شعر به دنبال تلالو است، شعر جاده‌ای شاهانه است که ما را به دوردست‌ها…	Mohsen Emadi	PoetryinAction	Finland			http://t.co/DmtEOxB9
دور از تمامی شهرها در جزیره‌ای زندگی می‌کنیم من و تو دور از تمامی شهرها، چراغ‌های راهنما و…	Mohsen Emadi	PoetryinAction	Finland			http://t.co/3T1882Xq
از من بگو اینک پیش این ماه، پیش از آنکه این ماه رو به افول بگذارد من خواهم مرد یا با تو…	Mohsen Emadi	PoetryinAction	Finland			http://goo.gl/fb/kkdJS
فعلی قدیم شعری از ادنا سنت وینسنت میلی اندیشیدم، چون چشمانم را با گوشه پیش بندم پاک کردم…	Mohsen Emadi	PoetryinAction	Finland			http://goo.gl/fb/gFP13
هیز ده بدر	Milad Zarei	miladz7560	Varamin			
دروغ نیوز به نقل از دکتر کردان مسئول شمارش آرا در وزارت کشور فکر نمیکردم جابجا کردن یه صفر بین میلیون و میلیون اینهمه مهم باشه	Milad Zarei	miladz7560	Varamin			
انجام تکالیف مدرسه مجله اینترنتی نودایران	mAni Farahani	manifarahani	not-given			http://t.co/7XtODSSD
کروبی با انتشارنامه سرگشاده یی آخوند لاریجانی رئیس قوه قضاییه خامنه ای وی را بی سواد و توصیف کرد	hamid zamani2009	hamidzamaniiran	not-given	#iran		http://bit.ly/7BSIbaPostHeaderIcon
i favorited a video ‏مرتضی پاشایی	willowmajnoon	willowmajnoon	not-given		@YouTube	http://t.co/SgIwfRXI
وضعیت اینترنت در ایران به هیچ عنوان ثابت نیست ، ممکن است برای برخی از دوستان فیریگت کار کند برای برخی الترا سورف و	Iranproxy 	proxyiran	Tehran			http://bit.ly/6puve9
معرفی دو وزیر زن در کابینه دولت کودتا ، آغاز دور جدیدی از عوام فریبی و کسب مشروعیت	Ehsan Irani	EhsanIrani69	not-given			
بنابه گزارشات واصله ازاليگودرز، نَن جون مهدی با فهمِ عدم رسمیت دولت لزوم استیضاح یا عدم کفایت ا ن را به نمایندگان بشدّت مردمی مجلس یادآورشد	farnaz	farnaz_iransoul	not-given			
آمریکا در پی تسلیح شدید خاورمیانه در مقابل ایران است	Nima Jamali	NimaJamali	Asia			http://t.co/eT0J1XWs
لغو راهپیمایی ٢٢ خرداد از سوی موسوی و کروبی election	Mina S	minatala	not-given	#iran,#iranelection		http://bit.ly/bDUCPI
اعتراف سپاه به هک کردن سایت‌های مخالفان election	Mina S	minatala	not-given	#iran,#iranelection,#tehran		http://bit.ly/aI8AJy
يه پرس خواب مشتي زدم به بدن	Soroush	Nokas	Tehran			
چشمم به جمال دفترچه بیمم روشن شد آک آکه لامصب	Soroush	Nokas	Tehran			
یکی بیاد یه دو سانتی ما رو کش بده	Soroush	Nokas	Tehran			
هوس یه رپ باحال کردم	Soroush	Nokas	Tehran			
زهرا رهنورد قلم نیوز هک شده است	Rah-e-Neda	NimaV	not-given			http://bit.ly/Giya0
اخه این چه وضعشه بچه ها میخان غذا درست کنن و من میخام بخوابم بین دو راهی موندم دی	ilia	Bache_Bahal	Ahwaz			
هی میگن باید شل بگیری ولی من واسه آمپول نمیتونم اینکار رو بکنم دی	ilia	Bache_Bahal	Ahwaz			
عدد سوزن کان مرا به کاج دادن	ilia	Bache_Bahal	Ahwaz			
نیست بر لوح دلم جز الف قامت ان	Pooyesh Azizedin	pooyesh_a	dubai-UAE			
سر آن ندارد امشب که براید آفتابی چه خیال ها که بگذشت و تو خرس گنده خوابی باره ی عدم تفاهم	Pooyesh Azizedin	pooyesh_a	dubai-UAE	#در		
اینقدر این اتاق بهم ریختست که فکر کنم بعد از جمع و جور بتونم ایمن الظواهری رو زیر یکی از صندلی ها پیدا کنم	Pooyesh Azizedin	pooyesh_a	dubai-UAE			
سوال چرا وقتی در رابطه همه چی خوب است باید برینیم به اعصاب هم دیگه؟جواب چون این بهترین زمان است برای ریدن به اعصاب هم دیگه	Pooyesh Azizedin	pooyesh_a	dubai-UAE			
بادبادک جدید در کوالالامپور	Kalam TV Farsi	kalamtvfa	not-given			http://t.co/SWT8g6dF
امروز را کمی از کنسول های مدرن امروزی فاصله می گیریم و میریم سراغ سگا، آتاری،‌ کمودور ۶۴ و سگا تا امشب، در ویدیوی	Kalam TV Farsi	kalamtvfa	not-given			http://t.co/rNwgh9g
پیش خوان کتاب، خوان سیزدهم با آراز بارسقیان	Kalam TV Farsi	kalamtvfa	not-given			http://fb.me/Hf9Sevnn
گزارشی از متن و حاشیه مراسم بزرگداشت شهید بهشتی در «مسجد قبا» عکس	IRAN ELECTION NEWS	ElectionIRANews	not-given			http://www.parlemannews.com/?n=1445
تو یه توییتی گفتم بتلفیلد، بعدش تا فالوئر نامربوط پیدا کردم خیلی هم خوب	Bahareh M	Bahareh_	Iran			
بلاخره نگارش داستان گل برار و دارآقا تموم شد	میرزا قشمشم	mirzaghashamsha	Iran			
نه چندان بخور کز دهانت بر آید نه چندان که از ضعف جانت بر آید	میرزا قشمشم	mirzaghashamsha	Iran			
ترمودینامیک می خوام بخونم	iman	imanir	iran/kerman			
مطمئن هستم که جای منم سریع پر میشه	afkar-novin	afkarenovin	not-given			
ای مردم آزاده کجایید کجایید؟ آزادگی افسرد بیاید بیاید لطفا جوانان ایران را تنها نگذارید don t forget about us in iran	Iran Majio	m_majio	Tehran			
ژاپن و کره جنوبی دو کشور دارای کمبود انرژی در حال تفکر در مورد عواقب تحریمات آمریکا در مورد ایران هستند این	Mani Azadikhah	schirazy	Tehran, Iran			http://t.co/iGeOJ9Za
توام بختت وا میشه یه روزی	Soroush Rabbani	soroushrabbani	not-given		@sanaz_torabi	
چه؟چی؟ بوستانمجتمع تجاري تهران iran	Sepehr Abtahi	sepehrlp	Iran		@	http://ovi.me/NuGY
فعلا میرم	Ma Sha	786masha	not-given			
اومدم	Ma Sha	786masha	not-given			
منابع نظامی ایران اعلام کردند یک هواپیمای بدون سرنشین جاسوسی آمریکا را در شرق ایران زده اند	mabesyarim	delavareirani	not-given			http://t.co/NypqPd1q
سوریه صد رحمت به شاه و جمهوری اسلامی	mabesyarim	delavareirani	not-given			http://t.co/4FYvRgb
بازگشت به عصر طلایی خمینی	mabesyarim	delavareirani	not-given			http://wp.me/pANyL-1SH
عکس احمد جنتی در کشتی نوح	mabesyarim	delavareirani	not-given			http://wp.me/pANyL-1R1
کشف حجاب در مقابل احمدی نژاد و سیاست دراز مدت وی و معاونش مشایی	mabesyarim	delavareirani	not-given			http://t.co/Ze5vFIr
هاشمی بی غیرت تر است یا روح الامینی ؟	mabesyarim	delavareirani	not-given			http://wp.me/pANyL-1Qy
اباما نشسته ای تا قذافی ملت خود را قتل عام کند؟	mabesyarim	delavareirani	not-given			http://wp.me/pANyL-1Qu
پروردگارا… یعنی خیلی نامردی اگه بخوای ۲۰۱۲ دنیا رو تموم کنی یادت باشه	Sepehr K	Sepehr7	not-given			
هَممممممش دلم میگره… هَممممممممش تنم اسیره…	Sepehr K	Sepehr7	not-given			
خدایا دمت گرم ولی واقعاً این بود اون آرمان های ما؟؟؟	Sepehr K	Sepehr7	not-given			
خدایی یه روز صبح که از خونه میرید دانشگاه یا سر کار یه کم به دورو ورتون دقت کنید کلی سوژه گیرتون میاد	Morteza	MortezaBagheri	Iran			
بنا به درخواست های مکرر دوستان عزیز در رابطه با وضعیت آب و هوای مشهد ، جا دارد اینجااعلام کنم که دمای هوا ۲۴ درجه ی سانتی گراد بالای صفر است	hamid samani	hamid1129	iran :)			
«آن چه زندگی می‌طلبد ایستادگی و شهامت است» سیصد روز از ایستادگی و شهامت هم‌راهان جنبش سبز هم گذشت	0mid	omid_farda_dk	not-given			http://t.co/HKkK0MC3
طرز تهیه حرکت خود جوش مردمی	0mid	omid_farda_dk	not-given			http://t.co/ImUL8a6s
میرحسین به تقلب گسترده حکومت و حامیانش می پردازد و می نویسد در ايامي كه گذشت شخصيت‌ها و گروه‌هايی به سراغ اينجانب	0mid	omid_farda_dk	not-given			http://t.co/UD6qu2BO
یا مهدی ادرکنی مگه این زن بی خانمان رو نمی بینی؟	afarin	afarinn	not-given			http://t.co/hU5P9OW
جناب آقای موسوی عزیز حق ماایرانیان جمهوری ایرانی و قانون اساسی است که در آن برجدایی دین از سیاست تاکید و همه ایرانیان برابروآزادباشند	afarin	afarinn	not-given			
یاد فرمایش امام راحل افتادم که میفرمان کسانی که خواب آمریکا را میبینند،خدا بیدارشان کند	behiii	behnamh	Tehran,Iran		@Arepheh	
رسانه عنتر محور	behiii	behnamh	Tehran,Iran			
ایران با اسرائیل بازی نمیکنه مدال از دست میده،از اونور تا به فلسطین میزنه،کلاً خیلی غیر قابل درک هستیم،از همه جهات	behiii	behnamh	Tehran,Iran			
هر گوشه ی این خاک که دل سوخته ای هست از دولت عشق تو در میکده باز است	amir rezaei	amir_rezaei	Iran-Tehran			
طاقت بیار میشه شنید،خندیدن دلخواه رو	amir rezaei	amir_rezaei	Iran-Tehran			
یه تی کم گذاشتی که	اوشکتا	Ushekta	not-given		@khajeh_joftaki	
میخام ببینم می تونیم کل اروپا رو به هم بریزیم یا نه	اوشکتا	Ushekta	not-given			
lt div style direction rtl text align right فعالیت «مجمع روحانیون» در بانک ملی lt div	behnam gholipour	beehnam	not-given			http://ping.fm/kXJI7
lt div style direction rtl text align right با الگوبرداری از روزنامه کیهان lt brشورای	behnam gholipour	beehnam	not-given			http://ping.fm/qRUoc
